Species	Ensembl ID	Gene Name	Log2FC	FDR
Human	ENSG00000184232	OAF	0.71853	1.24168E-06
Human	ENSG00000008517	IL32	0.718518	0.00019608
Human	ENSG00000270978	RP11-54C4.2	0.717638	0.0161242
Human	ENSG00000171823	FBXL14	0.716948	0.000134665
Human	ENSG00000147654	EBAG9	0.716745	0.000395329
Human	ENSG00000183801	OLFML1	0.716608	6.50256E-06
Human	ENSG00000147050	KDM6A	0.716477	1.68406E-05
Human	ENSG00000109046	WSB1	0.716428	6.22501E-06
Human	ENSG00000121486	TRMT1L	0.715601	0.00111516
Human	ENSG00000177674	AGTRAP	0.7139	5.10968E-05
Human	ENSG00000174137	FAM53A	0.713404	0.0430688
Human	ENSG00000107957	SH3PXD2A	0.71306	3.19506E-07
Human	ENSG00000121064	SCPEP1	0.71187	2.77976E-07
Human	ENSG00000196187	TMEM63A	0.711727	2.86673E-05
Human	ENSG00000023909	GCLM	0.710356	0.00017215
Human	ENSG00000165030	NFIL3	0.710289	4.81144E-05
Human	ENSG00000256043	CTSO	0.710047	9.27849E-06
Human	ENSG00000174021	GNG5	0.708667	7.86438E-06
Human	ENSG00000047644	WWC3	0.708411	0.000166765
Human	ENSG00000155962	CLIC2	0.706339	0.00192226
Human	ENSG00000230079	STK24P1	0.70593	0.00467298
Human	ENSG00000082212	ME2	0.705473	6.14834E-05
Human	ENSG00000115504	EHBP1	0.705422	2.78575E-05
Human	ENSG00000214717	ZBED1	0.704812	3.33987E-07
Human	ENSG00000164920	OSR2	0.704743	1.63665E-07
Human	ENSG00000115525	ST3GAL5	0.704244	0.000198166
Human	ENSG00000157483	MYO1E	0.703107	1.9557E-07
Human	ENSG00000172239	PAIP1	0.70297	4.40081E-06
Human	ENSG00000140750	ARHGAP17	0.702213	5.45061E-06
Human	ENSG00000065882	TBC1D1	0.701717	3.42012E-06
Human	ENSG00000108950	FAM20A	0.701286	1.34659E-05
Human	ENSG00000162924	REL	0.70125	0.0220996
Human	ENSG00000233461	RP11-295G20.2	0.701217	0.0417441
Human	ENSG00000250613	RP11-136I13.1	0.699564	0.0311504
Human	ENSG00000148143	ZNF462	0.697591	5.55649E-05
Human	ENSG00000187513	GJA4	0.6973	0.0194475
Human	ENSG00000158163	DZIP1L	0.69677	0.000141211
Human	ENSG00000163877	SNIP1	0.695429	0.000230372
Human	ENSG00000174004	NRROS	0.695355	0.0118794
Human	ENSG00000178075	GRAMD1C	0.695336	0.00686342
Human	ENSG00000213047	DENND1B	0.695326	0.00298039
Human	ENSG00000103978	TMEM87A	0.694269	5.30209E-05
Human	ENSG00000145780	FEM1C	0.693824	0.000389934
Human	ENSG00000159459	UBR1	0.69377	0.00422144
Human	ENSG00000114019	AMOTL2	0.693645	6.34906E-07
Human	ENSG00000124688	MAD2L1BP	0.69354	8.17325E-06
Human	ENSG00000064886	CHI3L2	0.693028	0.00881629
Human	ENSG00000138867	GUCD1	0.692387	4.16044E-07
Human	ENSG00000118707	TGIF2	0.691915	0.0228562
Human	ENSG00000197182	MIRLET7BHG	0.691329	0.00181178
Human	ENSG00000165527	ARF6	0.691014	3.92774E-06
Human	ENSG00000107929	LARP4B	0.690622	6.51323E-06
Human	ENSG00000119699	TGFB3	0.69028	0.003318
Human	ENSG00000005175	RPAP3	0.690209	2.87434E-05
Human	ENSG00000145779	TNFAIP8	0.687976	0.0145289
Human	ENSG00000005302	MSL3	0.687714	1.31418E-05
Human	ENSG00000163064	EN1	0.687119	0.00108127
Human	ENSG00000163702	IL17RC	0.6871	2.86984E-05
Human	ENSG00000153487	ING1	0.686471	0.000192205
Human	ENSG00000255397	AC022182.2	0.685901	0.00640984
Human	ENSG00000183337	BCOR	0.6847	4.63289E-06
Human	ENSG00000214013	GANC	0.683684	1.46464E-05
Human	ENSG00000214380	RP11-457K10.2	0.683053	0.0352063
Human	ENSG00000121236	TRIM6	0.682846	0.029016
Human	ENSG00000183696	UPP1	0.682099	7.26691E-05
Human	ENSG00000143924	EML4	0.68188	0.00019762
Human	ENSG00000184227	ACOT1	0.68185	0.0068485
Human	ENSG00000272767	JMJD1C-AS1	0.681146	0.0279105
Human	ENSG00000085365	SCAMP1	0.680954	7.11019E-05
Human	ENSG00000125779	PANK2	0.680577	2.19982E-05
Human	ENSG00000177485	ZBTB33	0.680143	6.58091E-05
Human	ENSG00000138835	RGS3	0.678609	9.488E-07
Human	ENSG00000182310	SPACA6	0.67835	0.00339549
Human	ENSG00000076053	RBM7	0.678136	0.000628741
Human	ENSG00000178078	STAP2	0.675183	0.00171456
Human	ENSG00000135821	GLUL	0.673191	2.18485E-06
Human	ENSG00000204682	CASC10	0.673172	0.00654225
Human	ENSG00000186654	PRR5	0.673169	0.00132876
Human	ENSG00000136111	TBC1D4	0.671135	5.66813E-05
Human	ENSG00000184058	TBX1	0.671008	0.000129997
Human	ENSG00000124795	DEK	0.67034	0.00193831
Human	ENSG00000181649	PHLDA2	0.670076	0.000357449
Human	ENSG00000155252	PI4K2A	0.668576	5.79428E-06
Human	ENSG00000267534	S1PR2	0.668498	0.00294921
Human	ENSG00000135111	TBX3	0.667337	1.88048E-06
Human	ENSG00000020577	SAMD4A	0.666678	3.07877E-06
Human	ENSG00000154930	ACSS1	0.666589	0.00295909
Human	ENSG00000002745	WNT16	0.665765	0.000384805
Human	ENSG00000270788	PDLIM1P1	0.665745	0.00579136
Human	ENSG00000124214	STAU1	0.664031	8.06118E-07
Human	ENSG00000082898	XPO1	0.663506	3.94302E-06
Human	ENSG00000163755	HPS3	0.663459	0.00706635
Human	ENSG00000176046	NUPR1	0.662234	0.000119944
Human	ENSG00000159256	MORC3	0.661712	0.000073799
Human	ENSG00000121879	PIK3CA	0.661481	0.000380619
Human	ENSG00000111727	HCFC2	0.660965	0.000274437
Human	ENSG00000187688	TRPV2	0.660487	9.15101E-06
Human	ENSG00000151338	MIPOL1	0.659675	0.00908588
Human	ENSG00000134531	EMP1	0.65934	1.76001E-05
Human	ENSG00000125844	RRBP1	0.658551	8.57214E-05
Human	ENSG00000151726	ACSL1	0.658415	5.69488E-06
Human	ENSG00000176907	C8orf4	0.658161	0.0103289
Human	ENSG00000107854	TNKS2	0.658124	1.44603E-05
Human	ENSG00000262246	CORO7	0.657886	0.0176661
Human	ENSG00000106034	CPED1	0.657498	9.32972E-06
Human	ENSG00000151327	FAM177A1	0.655922	4.11153E-05
Human	ENSG00000177738	CTD-2201E18.3	0.655627	0.00523228
Human	ENSG00000102218	RP2	0.655407	0.000248069
Human	ENSG00000179750	APOBEC3B	0.653622	0.0155311
Human	ENSG00000117318	ID3	0.653107	1.06004E-05
Human	ENSG00000084676	NCOA1	0.652752	8.07757E-05
Human	ENSG00000006695	COX10	0.652591	0.00109338
Human	ENSG00000167601	AXL	0.652223	8.77505E-07
Human	ENSG00000257704	INAFM1	0.651644	0.00663811
Human	ENSG00000086065	CHMP5	0.651128	6.74104E-06
Human	ENSG00000112137	PHACTR1	0.65084	0.0203096
Human	ENSG00000229696	KARSP1	0.650479	0.0147737
Human	ENSG00000176148	TCP11L1	0.650222	0.000160076
Human	ENSG00000167703	SLC43A2	0.650206	0.000395329
Human	ENSG00000163029	SMC6	0.650144	0.000206547
Human	ENSG00000261136	RP11-37C7.3	0.650137	0.047658
Human	ENSG00000095485	CWF19L1	0.649905	0.000394148
Human	ENSG00000164309	CMYA5	0.648408	0.00463295
Human	ENSG00000198113	TOR4A	0.647929	0.0066228
Human	ENSG00000090975	PITPNM2	0.646977	0.00168727
Human	ENSG00000110330	BIRC2	0.646806	0.000200437
Human	ENSG00000132879	FBXO44	0.646565	0.000232249
Human	ENSG00000182511	FES	0.645154	0.000652452
Human	ENSG00000106571	GLI3	0.644948	0.000165034
Human	ENSG00000143842	SOX13	0.644791	0.00134187
Human	ENSG00000223427	AC016716.1	0.644199	0.0357395
Human	ENSG00000102786	INTS6	0.643828	0.000111674
Human	ENSG00000131737	KRT34	0.643508	0.00294837
Human	ENSG00000107551	RASSF4	0.643155	0.00471036
Human	ENSG00000181481	RNF135	0.642584	0.000166422
Human	ENSG00000172059	KLF11	0.642315	0.000185469
Human	ENSG00000117758	STX12	0.64041	1.77096E-05
Human	ENSG00000258128	MKRN9P	0.63989	0.0337728
Human	ENSG00000166016	ABTB2	0.639428	0.00460116
Human	ENSG00000164054	SHISA5	0.639271	7.42717E-06
Human	ENSG00000125378	BMP4	0.639256	0.00521359
Human	ENSG00000145476	CYP4V2	0.639118	0.000817867
Human	ENSG00000177542	SLC25A22	0.637886	0.000841367
Human	ENSG00000196083	IL1RAP	0.637736	0.00104842
Human	ENSG00000198742	SMURF1	0.637535	5.93829E-05
Human	ENSG00000120075	HOXB5	0.637438	0.00060411
Human	ENSG00000218418	RP11-296E7.1	0.637412	0.000571779
Human	ENSG00000257564	RP11-123M21.2	0.636608	0.0215334
Human	ENSG00000167173	C15orf39	0.635703	0.000197769
Human	ENSG00000111731	C2CD5	0.635212	0.00102031
Human	ENSG00000134294	SLC38A2	0.635093	0.00205301
Human	ENSG00000162627	SNX7	0.634925	0.000132684
Human	ENSG00000133136	GNG5P2	0.634607	0.00723067
Human	ENSG00000261786	RP4-555D20.2	0.634172	0.00260901
Human	ENSG00000204520	MICA	0.634126	4.47034E-05
Human	ENSG00000177335	C8orf31	0.633918	0.0142015
Human	ENSG00000148110	MFSD14B	0.633848	8.34426E-06
Human	ENSG00000148700	ADD3	0.633484	3.92607E-06
Human	ENSG00000150457	LATS2	0.633118	6.64874E-05
Human	ENSG00000177034	MTX3	0.632782	0.00480516
Human	ENSG00000137312	FLOT1	0.631908	3.94946E-05
Human	ENSG00000165914	TTC7B	0.630926	0.000255778
Human	ENSG00000138606	SHF	0.630491	0.0298139
Human	ENSG00000189266	PNRC2	0.630462	5.35681E-05
Human	ENSG00000176386	CDC26	0.629782	0.00185875
Human	ENSG00000241058	NSUN6	0.629572	0.0301313
Human	ENSG00000021762	OSBPL5	0.628262	6.83917E-05
Human	ENSG00000137936	BCAR3	0.627916	0.000322121
Human	ENSG00000161642	ZNF385A	0.627036	0.00979528
Human	ENSG00000243679	RP11-274B21.3	0.626765	0.0253009
Human	ENSG00000101000	PROCR	0.626334	1.95039E-05
Human	ENSG00000100292	HMOX1	0.625283	0.000128492
Human	ENSG00000177614	PGBD5	0.624309	0.0152303
Human	ENSG00000250492	INTS6P1	0.623915	0.017572
Human	ENSG00000079616	KIF22	0.623123	0.00059819
Human	ENSG00000167977	KCTD5	0.622616	0.0013874
Human	ENSG00000146112	PPP1R18	0.622121	0.000234942
Human	ENSG00000100147	CCDC134	0.621934	0.0198458
Human	ENSG00000100320	RBFOX2	0.621714	3.91585E-05
Human	ENSG00000125354	38961	0.621236	0.000107351
Human	ENSG00000133606	MKRN1	0.620405	1.05044E-05
Human	ENSG00000160145	KALRN	0.619774	0.00277287
Human	ENSG00000112685	EXOC2	0.619558	0.000133769
Human	ENSG00000139687	RB1	0.619266	0.00044084
Human	ENSG00000159110	IFNAR2	0.618528	0.00129545
Human	ENSG00000163512	AZI2	0.617376	0.000721817
Human	ENSG00000132478	UNK	0.616764	0.000225973
Human	ENSG00000154359	LONRF1	0.616088	0.0221332
Human	ENSG00000115325	DOK1	0.615873	0.00036691
Human	ENSG00000061938	TNK2	0.615446	0.00137523
Human	ENSG00000166444	ST5	0.614595	4.30688E-05
Human	ENSG00000131446	MGAT1	0.614135	1.15803E-05
Human	ENSG00000215284	RP11-198M15.1	0.614122	0.00345039
Human	ENSG00000186076	RP11-887P2.3	0.613685	0.00626214
Human	ENSG00000115598	IL1RL2	0.613603	0.0139628
Human	ENSG00000065243	PKN2	0.613463	0.00020251
Human	ENSG00000124151	NCOA3	0.612146	0.000114089
Human	ENSG00000259721	RP11-758N13.1	0.61213	0.0205194
Human	ENSG00000135837	CEP350	0.612045	0.000682449
Human	ENSG00000028137	TNFRSF1B	0.611971	0.00124732
Human	ENSG00000008311	AASS	0.611543	0.00376864
Human	ENSG00000158315	RHBDL2	0.61121	0.0447304
Human	ENSG00000133028	SCO1	0.611159	0.000342529
Human	ENSG00000166452	AKIP1	0.610916	0.000767358
Human	ENSG00000268034	AC005795.1	0.610354	0.00676259
Human	ENSG00000163069	SGCB	0.609537	3.41431E-05
Human	ENSG00000198933	TBKBP1	0.60921	0.000607582
Human	ENSG00000169258	GPRIN1	0.609064	0.00262384
Human	ENSG00000130522	JUND	0.608734	0.000228635
Human	ENSG00000079215	SLC1A3	0.60825	0.0013874
Human	ENSG00000162520	SYNC	0.60649	0.000582665
Human	ENSG00000213463	SYNJ2BP	0.606126	0.00221546
Human	ENSG00000061918	GUCY1B3	0.604426	0.0137383
Human	ENSG00000189058	APOD	0.604089	0.000699201
Human	ENSG00000135587	SMPD2	0.603479	0.00201484
Human	ENSG00000207870	MIR221	0.603399	0.0354026
Human	ENSG00000141971	MVB12A	0.603213	0.000491557
Human	ENSG00000116675	DNAJC6	0.603206	0.0249198
Human	ENSG00000188811	NHLRC3	0.603185	0.00488401
Human	ENSG00000107779	BMPR1A	0.602817	0.000108969
Human	ENSG00000184675	AMER1	0.602699	0.00471881
Human	ENSG00000151136	BTBD11	0.602695	0.0265002
Human	ENSG00000178719	GRINA	0.602397	0.000059312
Human	ENSG00000112763	BTN2A1	0.602378	0.000279662
Human	ENSG00000103196	CRISPLD2	0.60199	8.27351E-05
Human	ENSG00000130787	HIP1R	0.601899	0.000577451
Human	ENSG00000153214	TMEM87B	0.600211	8.41752E-05
Human	ENSG00000120129	DUSP1	0.59887	0.000117831
Human	ENSG00000136141	LRCH1	0.597808	0.000594676
Human	ENSG00000120063	GNA13	0.596598	0.00059668
Human	ENSG00000172345	STARD5	0.596342	0.00204628
Human	ENSG00000174032	SLC25A30	0.595887	0.000863616
Human	ENSG00000178695	KCTD12	0.595584	0.00123261
Human	ENSG00000109390	NDUFC1	0.59376	0.00198598
Human	ENSG00000198945	L3MBTL3	0.593747	0.00251637
Human	ENSG00000215414	PSMA6P1	0.592816	0.00497668
Human	ENSG00000137393	RNF144B	0.591878	0.0447917
Human	ENSG00000148926	ADM	0.591156	4.35807E-05
Human	ENSG00000164877	MICALL2	0.590755	0.0167483
Human	ENSG00000260231	JHDM1D-AS1	0.590581	0.00817238
Human	ENSG00000088280	ASAP3	0.589623	0.000213067
Human	ENSG00000129566	TEP1	0.589538	0.000137768
Human	ENSG00000139163	ETNK1	0.589065	0.00122282
Human	ENSG00000163328	GPR155	0.589046	0.0232631
Human	ENSG00000100949	RABGGTA	0.588541	0.000895312
Human	ENSG00000259431	THTPA	0.587203	0.0192069
Human	ENSG00000213719	CLIC1	0.586838	4.41649E-05
Human	ENSG00000139182	CLSTN3	0.586776	0.00116511
Human	ENSG00000152061	RABGAP1L	0.586456	0.000739867
Human	ENSG00000160602	NEK8	0.585537	0.0362354
Human	ENSG00000173889	PHC3	0.585477	0.000299053
Human	ENSG00000132481	TRIM47	0.58465	0.00204628
Human	ENSG00000196405	EVL	0.584645	0.00028003
Human	ENSG00000253223	RP11-409C19.2	0.584628	0.0313877
Human	ENSG00000106484	MEST	0.58432	0.00354713
Human	ENSG00000198060	38412	0.583663	0.00116384
Human	ENSG00000139998	RAB15	0.583624	0.00549681
Human	ENSG00000146278	PNRC1	0.583406	0.00257413
Human	ENSG00000151694	ADAM17	0.581765	0.000276227
Human	ENSG00000234684	SDCBP2-AS1	0.581337	0.0283569
Human	ENSG00000095951	HIVEP1	0.581146	0.000561302
Human	ENSG00000116205	TCEANC2	0.581131	0.00257413
Human	ENSG00000137145	DENND4C	0.580856	0.00294837
Human	ENSG00000114405	C3orf14	0.580321	0.00730047
Human	ENSG00000104325	DECR1	0.580237	0.000256899
Human	ENSG00000111224	PARP11	0.580108	0.0194382
Human	ENSG00000166710	B2M	0.580054	4.79929E-05
Human	ENSG00000204389	HSPA1A	0.579726	0.00131405
Human	ENSG00000080815	PSEN1	0.579599	0.000119944
Human	ENSG00000220785	MTMR9LP	0.579057	0.00514076
Human	ENSG00000142733	MAP3K6	0.578362	0.00706635
Human	ENSG00000130749	ZC3H4	0.577988	0.000943949
Human	ENSG00000175054	ATR	0.577916	0.000691162
Human	ENSG00000189143	CLDN4	0.57785	0.0190926
Human	ENSG00000096696	DSP	0.576388	0.00096713
Human	ENSG00000184678	HIST2H2BE	0.575266	0.00181328
Human	ENSG00000109220	CHIC2	0.574761	0.00506997
Human	ENSG00000163701	IL17RE	0.572964	0.0498214
Human	ENSG00000116815	CD58	0.572938	0.00923272
Human	ENSG00000247095	MIR210HG	0.572224	0.0363667
Human	ENSG00000168591	TMUB2	0.57155	0.000220132
Human	ENSG00000181192	DHTKD1	0.570226	0.00183542
Human	ENSG00000132963	POMP	0.569917	0.000122393
Human	ENSG00000167995	BEST1	0.569331	0.00877577
Human	ENSG00000155099	TMEM55A	0.569072	0.00269743
Human	ENSG00000184182	UBE2F	0.568982	0.00389169
Human	ENSG00000197323	TRIM33	0.568172	0.000873612
Human	ENSG00000113360	DROSHA	0.567471	0.000363478
Human	ENSG00000084070	SMAP2	0.566983	0.0019562
Human	ENSG00000085449	WDFY1	0.566649	6.17168E-05
Human	ENSG00000226742	HSBP1L1	0.566588	0.00264389
Human	ENSG00000079308	TNS1	0.565282	0.000331447
Human	ENSG00000154429	CCSAP	0.565205	0.0119698
Human	ENSG00000132952	USPL1	0.564969	0.00205585
Human	ENSG00000100902	PSMA6	0.56469	0.0170066
Human	ENSG00000171843	MLLT3	0.564218	0.0218084
Human	ENSG00000144791	LIMD1	0.564135	0.00179064
Human	ENSG00000170381	SEMA3E	0.563786	0.04346
Human	ENSG00000188706	ZDHHC9	0.563659	8.68829E-05
Human	ENSG00000175592	FOSL1	0.563585	0.000408647
Human	ENSG00000100558	PLEK2	0.562701	0.0220313
Human	ENSG00000132294	EFR3A	0.562141	0.000065837
Human	ENSG00000185345	PARK2	0.561781	0.0488038
Human	ENSG00000143178	TBX19	0.560892	0.0496836
Human	ENSG00000072786	STK10	0.560477	0.000346611
Human	ENSG00000136783	NIPSNAP3A	0.559956	0.00385649
Human	ENSG00000118162	KPTN	0.559876	0.00987768
Human	ENSG00000117143	UAP1	0.558486	0.000973341
Human	ENSG00000143772	ITPKB	0.55848	0.00876179
Human	ENSG00000073578	SDHA	0.558114	6.21503E-05
Human	ENSG00000068120	COASY	0.557913	0.00147594
Human	ENSG00000162819	BROX	0.557815	0.00287778
Human	ENSG00000144857	BOC	0.557397	0.000175722
Human	ENSG00000188483	IER5L	0.556572	0.00724689
Human	ENSG00000143079	CTTNBP2NL	0.556057	0.00050282
Human	ENSG00000232533	AC093673.5	0.555956	0.00253434
Human	ENSG00000111728	ST8SIA1	0.555825	0.0421067
Human	ENSG00000142632	ARHGEF19	0.554321	0.00735413
Human	ENSG00000159202	UBE2Z	0.55395	4.64068E-05
Human	ENSG00000068305	MEF2A	0.552869	0.00154072
Human	ENSG00000162729	IGSF8	0.551973	0.00739895
Human	ENSG00000080345	RIF1	0.550965	0.00080213
Human	ENSG00000135900	MRPL44	0.550913	0.00166119
Human	ENSG00000105404	RABAC1	0.550898	0.000198166
Human	ENSG00000100324	TAB1	0.550628	0.00155919
Human	ENSG00000176095	IP6K1	0.549269	0.000111873
Human	ENSG00000196196	HRCT1	0.548684	0.0440456
Human	ENSG00000100219	XBP1	0.548494	0.00104304
Human	ENSG00000214274	ANG	0.548371	0.0482799
Human	ENSG00000065320	NTN1	0.548019	0.00171966
Human	ENSG00000176438	SYNE3	0.546064	0.0112833
Human	ENSG00000157168	NRG1	0.544805	0.0208722
Human	ENSG00000143867	OSR1	0.54465	0.00796816
Human	ENSG00000145819	ARHGAP26	0.544364	0.0084935
Human	ENSG00000174977	AC026271.5	0.544059	0.0081626
Human	ENSG00000130758	MAP3K10	0.543817	0.0170336
Human	ENSG00000166068	SPRED1	0.543566	0.0223137
Human	ENSG00000156804	FBXO32	0.543316	0.00392429
Human	ENSG00000175602	CCDC85B	0.543004	0.00537475
Human	ENSG00000018408	WWTR1	0.542938	0.000294715
Human	ENSG00000109099	PMP22	0.542849	0.000231259
Human	ENSG00000120802	TMPO	0.542343	0.0160484
Human	ENSG00000153179	RASSF3	0.542296	0.016742
Human	ENSG00000170545	SMAGP	0.541486	0.00315649
Human	ENSG00000087903	RFX2	0.54128	0.00361998
Human	ENSG00000231313	CLIC1P1	0.541238	0.00489313
Human	ENSG00000164038	SLC9B2	0.540294	0.000385863
Human	ENSG00000080200	CRYBG3	0.540257	0.0320758
Human	ENSG00000100354	TNRC6B	0.540177	0.00326626
Human	ENSG00000138433	CIR1	0.539645	0.00463295
Human	ENSG00000261614	CSDAP1	0.539545	0.0217351
Human	ENSG00000120093	HOXB3	0.539254	0.000515672
Human	ENSG00000081803	CADPS2	0.539179	0.0192505
Human	ENSG00000164330	EBF1	0.538585	0.021125
Human	ENSG00000113273	ARSB	0.538505	0.00145416
Human	ENSG00000111737	RAB35	0.538442	0.000595629
Human	ENSG00000196998	WDR45	0.538128	0.000821121
Human	ENSG00000170365	SMAD1	0.53721	0.00869112
Human	ENSG00000114315	HES1	0.537092	0.0458799
Human	ENSG00000171992	SYNPO	0.536926	0.00247133
Human	ENSG00000235444	PSMB3P2	0.536536	0.0246275
Human	ENSG00000100209	HSCB	0.536418	0.0115358
Human	ENSG00000122042	UBL3	0.536067	0.00459214
Human	ENSG00000138172	CALHM2	0.536041	0.000216665
Human	ENSG00000148344	PTGES	0.535555	0.000471395
Human	ENSG00000197265	GTF2E2	0.535327	0.00154524
Human	ENSG00000196422	PPP1R26	0.534789	0.0254666
Human	ENSG00000135776	ABCB10	0.534443	0.00318591
Human	ENSG00000269765	CTB-187L3.1	0.534212	0.049157
Human	ENSG00000186283	TOR3A	0.534029	0.00181328
Human	ENSG00000204388	HSPA1B	0.533639	0.0342185
Human	ENSG00000253276	CCDC71L	0.533603	0.00628476
Human	ENSG00000172831	CES2	0.533159	0.000718446
Human	ENSG00000205302	SNX2	0.532735	0.000719604
Human	ENSG00000086619	ERO1B	0.531844	0.0416917
Human	ENSG00000090530	P3H2	0.53117	0.0182771
Human	ENSG00000162595	DIRAS3	0.530406	0.0299785
Human	ENSG00000104368	PLAT	0.529897	0.000247807
Human	ENSG00000077782	FGFR1	0.529451	0.000278325
Human	ENSG00000164647	STEAP1	0.529316	0.00458978
Human	ENSG00000119522	DENND1A	0.529169	0.00383792
Human	ENSG00000166387	PPFIBP2	0.529117	0.00960922
Human	ENSG00000082996	RNF13	0.527499	0.00236606
Human	ENSG00000136560	TANK	0.527239	0.00120976
Human	ENSG00000206418	RAB12	0.526958	0.00209477
Human	ENSG00000141646	SMAD4	0.526299	0.00129338
Human	ENSG00000197312	DDI2	0.525866	0.00307159
Human	ENSG00000166925	TSC22D4	0.524907	0.00342726
Human	ENSG00000196639	HRH1	0.523508	0.0274082
Human	ENSG00000133466	C1QTNF6	0.523435	0.00190461
Human	ENSG00000189067	LITAF	0.522955	0.000412059
Human	ENSG00000133794	ARNTL	0.522927	0.0133407
Human	ENSG00000172766	NAA16	0.522698	0.0100155
Human	ENSG00000185022	MAFF	0.522176	0.00631639
Human	ENSG00000124782	RREB1	0.522029	0.00202385
Human	ENSG00000188643	S100A16	0.521628	0.000284949
Human	ENSG00000172348	RCAN2	0.521169	0.00196978
Human	ENSG00000134769	DTNA	0.520839	0.00281118
Human	ENSG00000166886	NAB2	0.520638	0.000433656
Human	ENSG00000127884	ECHS1	0.519614	0.000550883
Human	ENSG00000106392	C1GALT1	0.519322	0.00783057
Human	ENSG00000134121	CHL1	0.519272	0.0203675
Human	ENSG00000139178	C1RL	0.518724	0.00060411
Human	ENSG00000121900	TMEM54	0.518295	0.00956819
Human	ENSG00000105656	ELL	0.517465	0.00582765
Human	ENSG00000123104	ITPR2	0.517464	0.0107121
Human	ENSG00000143850	PLEKHA6	0.516016	0.0254959
Human	ENSG00000164096	C4orf3	0.515875	0.00204593
Human	ENSG00000115839	RAB3GAP1	0.515384	0.000294626
Human	ENSG00000148737	TCF7L2	0.515173	0.00888507
Human	ENSG00000198951	NAGA	0.515146	0.00119675
Human	ENSG00000134371	CDC73	0.514769	0.00121329
Human	ENSG00000107672	NSMCE4A	0.514227	0.0162468
Human	ENSG00000134046	MBD2	0.51402	0.00135593
Human	ENSG00000186510	CLCNKA	0.513672	0.04649
Human	ENSG00000125384	PTGER2	0.513318	0.00114904
Human	ENSG00000113578	FGF1	0.513293	0.0284776
Human	ENSG00000106524	ANKMY2	0.512637	0.00340854
Human	ENSG00000164548	TRA2A	0.511729	0.0013768
Human	ENSG00000099991	CABIN1	0.510224	0.00229488
Human	ENSG00000170142	UBE2E1	0.509769	0.000915229
Human	ENSG00000156515	HK1	0.509437	0.000357449
Human	ENSG00000169926	KLF13	0.508731	0.000632931
Human	ENSG00000106608	URGCP	0.508683	0.00673703
Human	ENSG00000117114	ADGRL2	0.508596	0.00109889
Human	ENSG00000103061	SLC7A6OS	0.50779	0.00422584
Human	ENSG00000109332	UBE2D3	0.507244	0.000467994
Human	ENSG00000114978	MOB1A	0.506901	0.000704407
Human	ENSG00000113583	C5orf15	0.506877	0.000885343
Human	ENSG00000170802	FOXN2	0.506448	0.0212475
Human	ENSG00000135722	FBXL8	0.506273	0.0405077
Human	ENSG00000184378	ACTRT3	0.506071	0.0387526
Human	ENSG00000133639	BTG1	0.506043	0.00296567
Human	ENSG00000101665	SMAD7	0.504962	0.00087338
Human	ENSG00000171813	PWWP2B	0.504585	0.0352931
Human	ENSG00000060138	YBX3	0.504082	0.000955644
Human	ENSG00000149294	NCAM1	0.503677	0.038012
Human	ENSG00000019582	CD74	0.503059	0.00772992
Human	ENSG00000152332	UHMK1	0.502738	0.00120309
Human	ENSG00000117600	PLPPR4	0.502088	0.00999272
Human	ENSG00000136048	DRAM1	0.502071	0.00187061
Human	ENSG00000107140	TESK1	0.501231	0.018051
Human	ENSG00000135047	CTSL	0.501001	0.000753315
Human	ENSG00000119537	KDSR	0.500136	0.00190796
Human	ENSG00000100906	NFKBIA	0.499931	0.0012334
Human	ENSG00000079819	EPB41L2	0.499751	0.00291372
Human	ENSG00000155744	FAM126B	0.498983	0.0244834
Human	ENSG00000107077	KDM4C	0.498135	0.00816336
Human	ENSG00000150867	PIP4K2A	0.497786	0.00307159
Human	ENSG00000106617	PRKAG2	0.496748	0.0134582
Human	ENSG00000180957	PITPNB	0.495708	0.0012439
Human	ENSG00000169992	NLGN2	0.494648	0.00122098
Human	ENSG00000172977	KAT5	0.494367	0.00351557
Human	ENSG00000023171	GRAMD1B	0.494021	0.00681091
Human	ENSG00000141543	EIF4A3	0.492573	0.000778928
Human	ENSG00000113916	BCL6	0.492206	0.00449463
Human	ENSG00000133424	LARGE	0.492043	0.00525807
Human	ENSG00000169418	NPR1	0.490709	0.0116915
Human	ENSG00000130479	MAP1S	0.490247	0.022622
Human	ENSG00000175183	CSRP2	0.489799	0.0306909
Human	ENSG00000008441	NFIX	0.489617	0.000528514
Human	ENSG00000102780	DGKH	0.489597	0.0141863
Human	ENSG00000159200	RCAN1	0.489411	0.013726
Human	ENSG00000159733	ZFYVE28	0.48934	0.0242758
Human	ENSG00000111252	SH2B3	0.489272	0.00154524
Human	ENSG00000086589	RBM22	0.488218	0.00609675
Human	ENSG00000142599	RERE	0.486282	0.00398526
Human	ENSG00000159884	CCDC107	0.485024	0.0109378
Human	ENSG00000121067	SPOP	0.484776	0.00438729
Human	ENSG00000044459	CNTLN	0.483493	0.0486823
Human	ENSG00000197632	SERPINB2	0.482676	0.00140001
Human	ENSG00000111321	LTBR	0.482669	0.00489163
Human	ENSG00000104412	EMC2	0.482039	0.015623
Human	ENSG00000117280	RAB29	0.481088	0.00391092
Human	ENSG00000145555	MYO10	0.480902	0.00131202
